Wavelength,Clear,Red,Blue,Green
1079.018,0.035222,0.035262,0.033655,0.036705
1079.897,0.034165,0.034194,0.032192,0.035683
1081.395,0.032473,0.032392,0.028186,0.034163
1083.399,0.030447,0.030035,0.025997,0.032371
1083.651,0.030212,0.029743,0.026023,0.03216
1088.537,0.026627,0.02447,0.026547,0.028953
1089.037,0.026362,0.023986,0.026454,0.028823
1089.162,0.026298,0.023866,0.026422,0.028806
1092.046,0.025093,0.021457,0.024702,0.02957
1094.296,0.024436,0.020367,0.022385,0.027635
1096.676,0.023917,0.020975,0.019954,0.024938
1098.932,0.023511,0.021625,0.018511,0.022219
1099.183,0.023468,0.021565,0.018421,0.021914
